	condition	animal	side	Age_of_bat	reps
KI_Striatum_rep1	KI_Striatum	1	left	8	KI_Striatum_rep1
KI_auditory_Cortex_rep1	KI_auditory_Cortex	1	left	8	KI_auditory_Cortex_rep1
KI_Cortex_rep1	KI_Cortex	1	left	8	KI_Cortex_rep1
GFP_Striatum_rep1	GFP_Striatum	1	right	8	GFP_Striatum_rep1
GFP_auditory_Cortex_rep1	GFP_auditory_Cortex	1	right	8	GFP_auditory_Cortex_rep1
GFP_Cortex_rep1	GFP_Cortex	1	right	8	GFP_Cortex_rep1
KI_auditory_Cortex_rep2	KI_auditory_Cortex	2	left	8	KI_auditory_Cortex_rep2
KI_Cortex_rep2	KI_Cortex	2	left	8	KI_Cortex_rep2
GFP_auditory_Cortex_rep2	GFP_auditory_Cortex	2	right	8	GFP_auditory_Cortex_rep2
GFP_Cortex_rep2	GFP_Cortex	2	right	8	GFP_Cortex_rep2
KI_Striatum_rep3	KI_Striatum	3	left	3	KI_Striatum_rep3
KI_auditory_Cortex_rep3	KI_auditory_Cortex	3	left	3	KI_auditory_Cortex_rep3
KI_Cortex_rep3	KI_Cortex	3	left	3	KI_Cortex_rep3
GFP_Striatum_rep3	GFP_Striatum	3	right	3	GFP_Striatum_rep3
GFP_auditory_Cortex_rep3	GFP_auditory_Cortex	3	right	3	GFP_auditory_Cortex_rep3
GFP_Cortex_rep3	GFP_Cortex	3	right	3	GFP_Cortex_rep3
KI_Striatum_rep4	KI_Striatum	4	left	3	KI_Striatum_rep4
KI_auditory_Cortex_rep4	KI_auditory_Cortex	4	left	3	KI_auditory_Cortex_rep4
KI_Cortex_rep4	KI_Cortex	4	left	3	KI_Cortex_rep4
GFP_Striatum_rep4	GFP_Striatum	4	right	3	GFP_Striatum_rep4
GFP_auditory_Cortex_rep4	GFP_auditory_Cortex	4	right	3	GFP_auditory_Cortex_rep4
GFP_Cortex_rep4	GFP_Cortex	4	right	3	GFP_Cortex_rep4
